idx,sub_class,last,run,level,pri_A_byte,pri_B_u32_hex,pri_A_file_offset_hex,pri_B_file_offset_hex
55,A,0,3,10,0x0a,0x00000003,0x057027,0x056de4
56,A,0,3,11,0x0b,0x00000003,0x057028,0x056de8
57,A,0,4,1,0x01,0x00000004,0x057029,0x056dec
58,A,0,4,2,0x02,0x00000004,0x05702a,0x056df0
59,A,0,4,3,0x03,0x00000004,0x05702b,0x056df4
60,A,0,4,4,0x04,0x00000004,0x05702c,0x056df8
61,A,0,4,5,0x05,0x00000004,0x05702d,0x056dfc
62,A,0,4,6,0x06,0x00000004,0x05702e,0x056e00
63,A,0,5,1,0x01,0x00000005,0x05702f,0x056e04
64,A,0,5,2,0x02,0x00000005,0x057030,0x056e08
65,A,0,5,3,0x03,0x00000005,0x057031,0x056e0c
66,A,0,5,4,0x04,0x00000005,0x057032,0x056e10
67,A,0,5,5,0x05,0x00000005,0x057033,0x056e14
68,A,0,6,1,0x01,0x00000006,0x057034,0x056e18
69,A,0,6,2,0x02,0x00000006,0x057035,0x056e1c
70,A,0,6,3,0x03,0x00000006,0x057036,0x056e20
71,A,0,6,4,0x04,0x00000006,0x057037,0x056e24
72,A,0,7,1,0x01,0x00000007,0x057038,0x056e28
73,A,0,7,2,0x02,0x00000007,0x057039,0x056e2c
74,A,0,7,3,0x03,0x00000007,0x05703a,0x056e30
75,A,0,7,4,0x04,0x00000007,0x05703b,0x056e34
76,A,0,8,1,0x01,0x00000008,0x05703c,0x056e38
77,A,0,8,2,0x02,0x00000008,0x05703d,0x056e3c
78,A,0,8,3,0x03,0x00000008,0x05703e,0x056e40
79,A,0,8,4,0x04,0x00000008,0x05703f,0x056e44
80,A,0,9,1,0x01,0x00000009,0x057040,0x056e48
81,A,0,9,2,0x02,0x00000009,0x057041,0x056e4c
82,A,0,9,3,0x03,0x00000009,0x057042,0x056e50
83,A,0,9,4,0x04,0x00000009,0x057043,0x056e54
84,A,0,10,1,0x01,0x0000000a,0x057044,0x056e58
85,A,0,10,2,0x02,0x0000000a,0x057045,0x056e5c
86,A,0,10,3,0x03,0x0000000a,0x057046,0x056e60
87,A,0,11,1,0x01,0x0000000b,0x057047,0x056e64
88,A,0,11,2,0x02,0x0000000b,0x057048,0x056e68
89,A,0,11,3,0x03,0x0000000b,0x057049,0x056e6c
90,A,0,12,1,0x01,0x0000000c,0x05704a,0x056e70
91,A,0,12,2,0x02,0x0000000c,0x05704b,0x056e74
92,A,0,12,3,0x03,0x0000000c,0x05704c,0x056e78
93,A,0,13,1,0x01,0x0000000d,0x05704d,0x056e7c
94,A,0,13,2,0x02,0x0000000d,0x05704e,0x056e80
95,A,0,13,3,0x03,0x0000000d,0x05704f,0x056e84
96,A,0,14,1,0x01,0x0000000e,0x057050,0x056e88
97,A,0,14,2,0x02,0x0000000e,0x057051,0x056e8c
98,A,0,14,3,0x03,0x0000000e,0x057052,0x056e90
99,A,0,15,1,0x01,0x0000000f,0x057053,0x056e94
